rok,miejscowość,data,pm25_dobowe
2019,Katowice,2019-01-01,24.527524166666666
2019,Katowice,2019-01-02,13.565717916666665
2019,Katowice,2019-01-03,21.499523333333332
2019,Katowice,2019-01-04,25.8242625
2019,Katowice,2019-01-05,28.70500416666667
2019,Katowice,2019-01-06,18.67799625
2019,Katowice,2019-01-07,63.339220833333336
2019,Katowice,2019-01-08,25.197725000000002
2019,Katowice,2019-01-09,47.36864166666667
2019,Katowice,2019-01-10,54.3197875
2019,Katowice,2019-01-11,46.70956666666667
2019,Katowice,2019-01-12,32.701033333333335
2019,Katowice,2019-01-13,15.514264166666665
2019,Katowice,2019-01-14,12.68274125
2019,Katowice,2019-01-15,19.6707725
2019,Katowice,2019-01-16,23.088544583333334
2019,Katowice,2019-01-17,17.995437083333332
2019,Katowice,2019-01-18,19.303598750000003
2019,Katowice,2019-01-19,61.15546666666666
2019,Katowice,2019-01-20,109.84999583333332
2019,Katowice,2019-01-21,94.450575
2019,Katowice,2019-01-22,109.44282916666667
2019,Katowice,2019-01-23,39.916337500000004
2019,Katowice,2019-01-24,37.97447916666667
2019,Katowice,2019-01-25,51.654937499999996
2019,Katowice,2019-01-26,49.24885833333334
2019,Katowice,2019-01-27,37.568129166666665
2019,Katowice,2019-01-28,61.4926625
2019,Katowice,2019-01-29,41.45831666666667
2019,Katowice,2019-01-30,61.20575
2019,Katowice,2019-01-31,81.50278333333334
2019,Katowice,2019-02-01,58.088637500000004
2019,Katowice,2019-02-02,20.634732916666668
2019,Katowice,2019-02-03,54.978208333333335
2019,Katowice,2019-02-04,33.4834875
2019,Katowice,2019-02-05,61.54548333333333
2019,Katowice,2019-02-06,68.96523333333333
2019,Katowice,2019-02-07,60.8918375
2019,Katowice,2019-02-08,39.145125
2019,Katowice,2019-02-09,45.25843333333333
2019,Katowice,2019-02-10,25.035408333333333
2019,Katowice,2019-02-11,16.443613333333335
2019,Katowice,2019-02-12,19.02055375
2019,Katowice,2019-02-13,32.189875
2019,Katowice,2019-02-14,35.46635416666667
2019,Katowice,2019-02-15,51.593266666666665
2019,Katowice,2019-02-16,56.26291666666666
2019,Katowice,2019-02-17,51.825520833333336
2019,Katowice,2019-02-18,65.91455833333333
2019,Katowice,2019-02-19,45.4247875
2019,Katowice,2019-02-20,29.74695
2019,Katowice,2019-02-21,34.67988333333333
2019,Katowice,2019-02-22,15.112754583333334
2019,Katowice,2019-02-23,27.25752083333333
2019,Katowice,2019-02-24,59.42978333333334
2019,Katowice,2019-02-25,54.02424166666666
2019,Katowice,2019-02-26,44.889212500000006
2019,Katowice,2019-02-27,42.84397083333334
2019,Katowice,2019-02-28,33.956362500000004
2019,Katowice,2019-03-01,51.80153333333333
2019,Katowice,2019-03-02,51.773516666666666
2019,Katowice,2019-03-03,27.017274999999998
2019,Katowice,2019-03-04,11.664978333333332
2019,Katowice,2019-03-05,12.287355833333335
2019,Katowice,2019-03-06,23.893141666666665
2019,Katowice,2019-03-07,20.6120875
2019,Katowice,2019-03-08,9.244299583333333
2019,Katowice,2019-03-09,10.55424625
2019,Katowice,2019-03-10,10.043199166666666
2019,Katowice,2019-03-11,14.27322375
2019,Katowice,2019-03-12,26.9535125
2019,Katowice,2019-03-13,19.56576
2019,Katowice,2019-03-14,12.242047916666666
2019,Katowice,2019-03-15,10.119390416666667
2019,Katowice,2019-03-16,11.107286666666667
2019,Katowice,2019-03-17,12.86154125
2019,Katowice,2019-03-18,16.909635416666667
2019,Katowice,2019-03-19,28.6404
2019,Katowice,2019-03-20,60.9954375
2019,Katowice,2019-03-21,50.396704166666666
2019,Katowice,2019-03-22,61.5814125
2019,Katowice,2019-03-23,43.726958333333336
2019,Katowice,2019-03-24,34.4138375
2019,Katowice,2019-03-25,22.497825000000002
2019,Katowice,2019-03-26,17.696891666666666
2019,Katowice,2019-03-27,25.523729166666666
2019,Katowice,2019-03-28,39.81469583333333
2019,Katowice,2019-03-29,63.25911666666667
2019,Katowice,2019-03-30,55.305837499999996
2019,Katowice,2019-03-31,37.50027083333333
2019,Katowice,2019-04-01,14.687267499999999
2019,Katowice,2019-04-02,19.1239625
2019,Katowice,2019-04-03,30.0321
2019,Katowice,2019-04-04,29.497316666666666
2019,Katowice,2019-04-05,32.67467916666667
2019,Katowice,2019-04-06,38.81195
2019,Katowice,2019-04-07,39.7532875
2019,Katowice,2019-04-08,36.74104166666667
2019,Katowice,2019-04-09,39.084020833333334
2019,Katowice,2019-04-10,27.118691666666667
2019,Katowice,2019-04-11,23.448620833333333
2019,Katowice,2019-04-12,28.49285
2019,Katowice,2019-04-13,36.4033125
2019,Katowice,2019-04-14,27.7909875
2019,Katowice,2019-04-15,26.575775000000004
2019,Katowice,2019-04-16,24.85587083333333
2019,Katowice,2019-04-17,25.010966666666665
2019,Katowice,2019-04-18,31.93949166666667
2019,Katowice,2019-04-19,25.254096666666666
2019,Katowice,2019-04-20,20.863159166666666
2019,Katowice,2019-04-21,15.949854583333334
2019,Katowice,2019-04-22,19.055225
2019,Katowice,2019-04-23,17.178787500000002
2019,Katowice,2019-04-24,16.980979166666668
2019,Katowice,2019-04-25,18.163445833333334
2019,Katowice,2019-04-26,17.620502916666666
2019,Katowice,2019-04-27,18.172054166666666
2019,Katowice,2019-04-28,19.878502916666665
2019,Katowice,2019-04-29,13.15643875
2019,Katowice,2019-04-30,18.500541666666667
2019,Katowice,2019-05-01,20.259308333333333
2019,Katowice,2019-05-02,20.265762499999997
2019,Katowice,2019-05-03,20.972176666666666
2019,Katowice,2019-05-04,21.398374583333332
2019,Katowice,2019-05-05,10.755081249999998
2019,Katowice,2019-05-06,11.048978333333332
2019,Katowice,2019-05-07,17.781375
2019,Katowice,2019-05-08,27.21893125
2019,Katowice,2019-05-09,26.4583125
2019,Katowice,2019-05-10,23.099708333333336
2019,Katowice,2019-05-11,18.12575875
2019,Katowice,2019-05-12,20.872929583333335
2019,Katowice,2019-05-13,10.82954
2019,Katowice,2019-05-14,13.569851666666667
2019,Katowice,2019-05-15,17.389467083333333
2019,Katowice,2019-05-16,23.6337125
2019,Katowice,2019-05-17,27.285179166666666
2019,Katowice,2019-05-18,18.481877916666665
2019,Katowice,2019-05-19,14.583916250000001
2019,Katowice,2019-05-20,12.21174625
2019,Katowice,2019-05-21,10.409847083333334
2019,Katowice,2019-05-22,11.010903333333333
2019,Katowice,2019-05-23,13.378819583333334
2019,Katowice,2019-05-24,17.568604166666667
2019,Katowice,2019-05-25,20.867811666666668
2019,Katowice,2019-05-26,21.274470833333336
2019,Katowice,2019-05-27,16.488845833333333
2019,Katowice,2019-05-28,14.938039166666668
2019,Katowice,2019-05-29,10.778004583333333
2019,Katowice,2019-05-30,12.446455
2019,Katowice,2019-05-31,15.71178375
2019,Katowice,2019-06-01,16.687847916666666
2019,Katowice,2019-06-02,15.616743333333334
2019,Katowice,2019-06-03,11.646569999999999
2019,Katowice,2019-06-04,12.980912083333331
2019,Katowice,2019-06-05,14.923784583333335
2019,Katowice,2019-06-06,11.47509
2019,Katowice,2019-06-07,16.72324791666667
2019,Katowice,2019-06-08,15.352232083333334
2019,Katowice,2019-06-09,9.459661666666667
2019,Katowice,2019-06-10,14.616067083333334
2019,Katowice,2019-06-11,16.470735833333332
2019,Katowice,2019-06-12,13.510975833333333
2019,Katowice,2019-06-13,14.137599999999999
2019,Katowice,2019-06-14,23.54648333333333
2019,Katowice,2019-06-15,19.380078260869567
2019,Katowice,2019-06-16,14.174683333333334
2019,Katowice,2019-06-17,7.569629166666666
2019,Katowice,2019-06-18,12.666374583333335
2019,Katowice,2019-06-19,16.69571875
2019,Katowice,2019-06-20,13.505691666666666
2019,Katowice,2019-06-21,15.204091666666669
2019,Katowice,2019-06-22,12.771434999999999
2019,Katowice,2019-06-23,8.213763333333334
2019,Katowice,2019-06-24,9.124904583333334
2019,Katowice,2019-06-25,14.648166666666668
2019,Katowice,2019-06-26,15.475529583333334
2019,Katowice,2019-06-27,11.19238375
2019,Katowice,2019-06-28,11.90840375
2019,Katowice,2019-06-29,8.97917625
2019,Katowice,2019-06-30,10.368039999999999
2019,Katowice,2019-07-01,10.634465
2019,Katowice,2019-07-02,13.177388333333333
2019,Katowice,2019-07-03,7.347593333333333
2019,Katowice,2019-07-04,8.797135833333334
2019,Katowice,2019-07-05,9.534994166666667
2019,Katowice,2019-07-06,9.14775
2019,Katowice,2019-07-07,10.286499166666667
2019,Katowice,2019-07-08,7.25838625
2019,Katowice,2019-07-09,6.521995
2019,Katowice,2019-07-10,7.42743
2019,Katowice,2019-07-11,8.941570416666666
